time,liveCells_total
4.255319149,82.64202307
8.510638298,80.44988896
15.95744681,82.16920983
24.11347518,83.85987535
28.36879433,83.68794326
34.39716312,87.48477685
39.0070922,111.5409413
45.74468085,157.733362
51.06382979,208.0234974
53.54609929,252.3676481
56.02836879,292.6713948
58.15602837,310.7672469
62.05673759,377.2763092
64.53900709,421.6204599
68.79432624,459.8323662
70.21276596,449.6740454
74.11347518,475.7790673
78.72340426,457.4109893
82.9787234,424.9158249
88.65248227,366.1007235
92.19858156,299.2907801
97.16312057,216.2619099
102.8368794,175.6286267
107.8014184,130.9835948
112.4113475,88.37309263
119.1489362,51.73723046
125.177305,21.1906297
132.9787234,4.713804714
137.9432624,0
