time	live	death
0	40	0
2	40	0
4	40	0
6	40	0
8	80	0
10	80	0
12	80	0
14	159	0
16	160	0
18	160	0
20	160	0
22	187	1
24	264	1
26	292	1
28	294	4
30	296	6
32	310	8
34	329	14
36	357	17
38	382	26
40	397	32
42	402	44
44	405	55
46	407	67
48	406	81
50	405	102
52	403	121
54	405	141
56	395	161
58	392	178
60	382	197
62	367	221
64	363	235
66	363	249
68	359	271
70	348	293
72	348	306
74	348	321
76	342	337
78	341	357
80	330	376
82	321	393
84	320	404
86	309	422
88	312	433
90	308	451
92	305	466
94	295	484
96	288	500
98	275	518
100	259	543
102	250	560
104	246	571
106	241	590
108	237	603
110	233	615
112	221	634
114	216	648
116	215	654
118	208	667
120	209	678
122	209	687
124	199	701
126	192	714
128	182	731
130	176	742
132	174	750
134	169	758
136	165	768
138	153	781
140	140	796
142	134	804
144	126	814
146	121	820
148	112	829
150	110	833
152	107	840
154	106	845
156	98	854
158	92	860
160	87	866
162	84	870
164	75	880
166	71	884
168	67	889
170	62	895
172	60	897
174	57	900
176	55	902
178	52	905
180	51	907
182	47	911
184	44	914
186	41	917
188	39	920
190	35	924
192	32	928
194	28	932
196	25	936
198	24	937
200	22	939
202	21	940
204	19	942
206	17	944
208	16	945
210	16	945
212	17	945
214	17	945
216	16	946
218	16	946
220	16	946
222	16	946
224	16	946
226	15	947
228	15	947
230	15	947
232	13	949
234	13	949
236	12	950
238	12	950
240	10	952
242	10	952
244	9	953
246	9	953
248	9	953
250	9	953
252	9	953
254	9	953
256	8	954
258	7	955
260	7	955
262	6	956
264	5	957
266	5	957
268	5	957
270	5	957
272	5	957
274	5	957
276	5	957
278	5	957
280	4	958
282	4	958
284	4	958
286	4	958
288	4	958
290	4	958
292	3	959
294	3	959
296	3	959
298	3	959
