time	live	death
0	40	0
2	40	0
4	40	0
6	40	0
8	80	0
10	80	0
12	80	0
14	147	0
16	160	0
18	160	0
20	161	0
22	181	2
24	238	6
26	268	11
28	272	15
30	277	17
32	281	23
34	285	37
36	294	51
38	298	67
40	307	74
42	314	81
44	313	93
46	322	99
48	325	109
50	325	126
52	317	145
54	313	162
56	314	181
58	304	198
60	298	214
62	298	227
64	288	244
66	283	262
68	275	280
70	270	296
72	265	312
74	261	329
76	257	341
78	259	355
80	260	371
82	261	381
84	246	404
86	244	418
88	240	429
90	236	438
92	233	449
94	229	460
96	220	476
98	216	491
100	213	506
102	210	515
104	198	531
106	185	546
108	181	557
110	169	573
112	158	591
114	157	597
116	155	605
118	154	612
120	145	625
122	146	631
124	145	634
126	145	643
128	138	651
130	130	660
132	121	670
134	120	676
136	119	679
138	116	686
140	108	696
142	105	699
144	99	705
146	91	713
148	89	716
150	87	718
152	81	724
154	79	726
156	80	727
158	79	730
160	76	733
162	71	739
164	66	744
166	62	748
168	59	752
170	57	754
172	54	757
174	53	758
176	49	762
178	47	764
180	47	764
182	46	765
184	44	767
186	44	767
188	42	769
190	39	772
192	36	775
194	35	776
196	35	776
198	32	779
200	31	780
202	30	781
204	28	783
206	27	784
208	26	785
210	25	786
212	24	787
214	23	788
216	20	791
218	18	793
220	16	795
222	14	797
224	13	798
226	13	798
228	13	798
230	13	798
232	12	799
234	11	800
236	11	800
238	10	801
240	10	801
242	9	802
244	9	802
246	8	803
248	8	803
250	8	803
252	8	803
254	8	803
256	8	803
258	8	803
260	8	803
262	8	803
264	7	804
266	7	804
268	7	804
270	7	804
272	7	804
274	7	804
276	7	804
278	7	804
280	7	804
282	7	804
284	7	804
286	7	804
288	7	804
290	7	804
292	7	804
294	7	804
296	6	805
298	6	805
