time	live	death
0	40	0
2	40	0
4	40	0
6	40	0
8	80	0
10	80	0
12	80	0
14	151	0
16	160	0
18	160	0
20	160	0
22	180	3
24	257	3
26	281	5
28	286	8
30	284	10
32	287	15
34	304	24
36	321	33
38	318	52
40	326	64
42	324	76
44	331	87
46	329	101
48	325	114
50	328	127
52	313	150
54	305	167
56	307	180
58	295	200
60	281	221
62	258	248
64	254	261
66	252	273
68	250	288
70	244	301
72	239	317
74	230	328
76	221	341
78	213	350
80	203	367
82	194	384
84	187	397
86	178	410
88	174	417
90	166	428
92	158	437
94	148	450
96	144	458
98	140	465
100	133	476
102	122	489
104	108	504
106	103	509
108	96	517
110	97	517
112	94	520
114	90	526
116	88	530
118	78	540
120	77	542
122	74	545
124	71	548
126	69	550
128	68	551
130	66	553
132	61	558
134	60	559
136	55	564
138	54	565
140	49	570
142	47	572
144	43	576
146	42	577
148	39	580
150	36	583
152	32	587
154	32	587
156	30	589
158	27	592
160	26	593
162	22	597
164	21	598
166	19	600
168	19	600
170	17	602
172	16	603
174	14	605
176	13	606
178	13	606
180	12	607
182	12	607
184	11	608
186	10	609
188	9	610
190	8	611
192	8	611
194	6	613
196	4	615
198	4	615
200	4	615
202	4	615
204	4	615
206	3	616
208	3	616
210	1	618
212	1	618
214	1	618
216	1	618
218	1	618
220	1	618
222	1	618
224	1	618
226	0	619
228	0	619
230	0	619
232	0	619
234	0	619
236	0	619
238	0	619
240	0	619
242	0	619
244	0	619
246	0	619
248	0	619
250	0	619
252	0	619
254	0	619
256	0	619
258	0	619
260	0	619
262	0	619
264	0	619
266	0	619
268	0	619
270	0	619
272	0	619
274	0	619
276	0	619
278	0	619
280	0	619
282	0	619
284	0	619
286	0	619
288	0	619
290	0	619
292	0	619
294	0	619
296	0	619
298	0	619
